Model,Optimizer,Learning Rate,Momentum,Validation Loss,Accuracy
Model_0,Adam,0.001,,0.2452460757146279,93.20132013201321
Model_0,Adam,0.003,,0.24927614629268646,90.89108910891089
Model_0,Adam,0.006,,0.2926811159898837,91.81518151815182
Model_0,Adam,0.01,,0.2909088192197184,91.08910891089108
Model_0,SGD,0.001,0.9,0.313805122859776,89.76897689768977
Model_0,SGD,0.003,0.9,0.27804277061174315,91.2871287128713
Model_0,SGD,0.006,0.9,0.27028258408730227,91.08910891089108
Model_0,SGD,0.01,0.9,0.2770576036224763,91.15511551155116
Model_0,SGD,0.001,0.95,0.2954294934558372,91.15511551155116
Model_0,SGD,0.003,0.95,0.25953994411975145,92.47524752475248
Model_0,SGD,0.006,0.95,0.2353952246097227,92.47524752475248
Model_0,SGD,0.01,0.95,0.2611107857276996,91.94719471947195
Model_0,SGD,0.001,0.99,0.25452173051113886,93.06930693069307
Model_0,SGD,0.003,0.99,0.277998642064631,91.22112211221122
Model_0,SGD,0.006,0.99,0.30157056109358865,91.55115511551155
Model_0,SGD,0.01,0.99,0.3423079571997126,88.84488448844884
Model_1,Adam,0.001,,0.2075646445931246,93.86138613861387
Model_1,Adam,0.003,,0.1935296912367145,93.46534653465346
Model_1,Adam,0.006,,0.26247746714701253,92.47524752475248
Model_1,Adam,0.01,,0.27004768311356503,92.34323432343234
Model_1,SGD,0.001,0.9,0.3074256144464016,89.24092409240924
Model_1,SGD,0.003,0.9,0.24246821055809656,93.003300330033
Model_1,SGD,0.006,0.9,0.2284305620317658,93.3993399339934
Model_1,SGD,0.01,0.9,0.23259681199366847,92.2112211221122
Model_1,SGD,0.001,0.95,0.26940955097476643,91.08910891089108
Model_1,SGD,0.003,0.95,0.22825764818117023,93.3993399339934
Model_1,SGD,0.006,0.95,0.22200324401880303,93.3993399339934
Model_1,SGD,0.01,0.95,0.23459153963873783,93.53135313531354
Model_1,SGD,0.001,0.99,0.2281440671067685,93.20132013201321
Model_1,SGD,0.003,0.99,0.27826796487594646,92.01320132013201
Model_1,SGD,0.006,0.99,0.3424986007933815,88.84488448844884
Model_1,SGD,0.01,0.99,0.34941777354106307,88.84488448844884
Model_2,Adam,0.001,,0.19379054817060629,94.05940594059406
Model_2,Adam,0.003,,0.26545315934345126,91.55115511551155
Model_2,Adam,0.006,,0.3493201908034583,88.84488448844884
Model_2,Adam,0.01,,0.3525903793051839,88.84488448844884
Model_2,SGD,0.001,0.9,0.32467299451430637,89.43894389438944
Model_2,SGD,0.003,0.9,0.29320042735586566,91.35313531353135
Model_2,SGD,0.006,0.9,0.2589751984924078,92.14521452145215
Model_2,SGD,0.01,0.9,0.25818443841611344,92.27722772277228
Model_2,SGD,0.001,0.95,0.31604320369660854,90.89108910891089
Model_2,SGD,0.003,0.95,0.25779407657682896,92.47524752475248
Model_2,SGD,0.006,0.95,0.24935951355534294,92.40924092409242
Model_2,SGD,0.01,0.95,0.22189910632247725,93.13531353135313
Model_2,SGD,0.001,0.99,0.2517887077604731,92.2112211221122
Model_2,SGD,0.003,0.99,0.24015470671777925,93.13531353135313
Model_2,SGD,0.006,0.99,0.26530028103540343,91.41914191419141
Model_2,SGD,0.01,0.99,0.3501852989817659,88.84488448844884
